"","area_name","fips","state_abbreviation","PST045214","PST040210","PST120214","POP010210","AGE135214","AGE295214","AGE775214","SEX255214","RHI125214","RHI225214","RHI325214","RHI425214","RHI525214","RHI625214","RHI725214","RHI825214","POP715213","POP645213","POP815213","EDU635213","EDU685213","VET605213","LFE305213","HSG010214","HSG445213","HSG096213","HSG495213","HSD410213","HSD310213","INC910213","INC110213","PVY020213","BZA010213","BZA110213","BZA115213","NES010213","SBO001207","SBO315207","SBO115207","SBO215207","SBO515207","SBO415207","SBO015207","MAN450207","WTN220207","RTN130207","RTN131207","AFN120207","BPS030214","LND110210","POP060210","educatedpeople","votes"
"1","Abbeville County",45001,"SC",24965,25416,-1.8,25417,5.4,21.5,19.4,51.5,69.7,28.3,0.3,0.4,0,1.2,1.2,68.8,89.6,1,2.3,76.8,12.2,1944,27.1,12002,76.4,6.2,91200,9809,2.49,18134,35947,21.6,335,4387,2.7,1393,1385,19.1,0,0,0,0,33.4,657498,0,71936,2841,10963,41,490.48,51.8,1917312,5480
"2","Adair County",19001,"IA",7454,7682,-3,7682,4.8,22.1,22.1,50.9,98.2,0.4,0.2,0.5,0,0.8,1.7,96.8,89.9,1.1,1.1,90.7,16.3,790,22.7,3674,77.1,9.3,90900,3295,2.26,25564,47892,9.5,187,1663,-0.2,626,745,0,0,0,0,0,0,0,29361,49644,6546,4128,8,569.27,13.5,676077.8,705
"3","Adams County",19003,"IA",3875,4029,-3.8,4029,6.5,21.4,22,49.9,97.8,0.4,0.4,0.6,0,0.7,1.1,96.9,87.6,0.6,1.2,90.4,13.7,353,21.2,2010,78.5,4.7,85200,1745,2.2,23707,45871,11.3,118,884,1,321,443,0,0,0,0,0,0,0,14217,32586,7950,0,1,423.44,9.5,350300,471
"4","Aiken County",45003,"SC",164753,160106,2.9,160099,5.7,22.1,17.5,51.5,71.4,25.1,0.5,0.9,0.1,1.9,5.4,67,88,3.4,5.2,84.8,24,14081,25.2,74032,73.3,9.4,124600,63388,2.5,24769,44509,18.9,2674,47188,-0.9,9909,11931,11.2,1,1.8,0,2.4,31,3959342,0,1599845,10450,172893,678,1071.03,149.5,13971054.4,38349
"5","Allamakee County",19005,"IA",14038,14328,-2,14330,6.1,22.5,21.3,48.8,96.4,1.4,0.6,0.5,0.3,0.9,5.7,91.5,87.3,4.3,8,89,14.9,1282,23.6,7650,79.5,9.3,114400,5862,2.36,24926,48831,12.6,396,4517,7,1179,1648,0,0,0,0,0,22.8,0,154490,128662,8922,8456,41,639.08,22.4,1249382,1286
"6","Allendale County",45005,"SC",9695,10419,-6.9,10419,5.1,19.5,16.3,46.1,25.4,72.9,0.3,0.6,0,0.8,2.9,23.3,89.5,1.4,2.6,71.9,15,622,23.4,4433,63.5,10.4,65400,3424,2.63,13334,25252,36,125,1628,7.6,482,410,0,0,0,0,0,0,385377,0,32596,3129,2949,27,408.09,25.5,697070.5,1478
"7","Anderson County",45007,"SC",192810,187123,3,187126,6,23.3,17,51.7,80.6,16.6,0.3,0.9,0,1.5,3.5,77.7,86.7,2.5,3.8,81.7,19.3,14754,23.4,85449,72.9,11.9,123400,73296,2.53,22081,41579,16.8,3650,54617,2,11711,13212,5.7,0.4,1.1,0,0.8,25.8,4886331,0,2004732,11128,235779,863,715.43,261.6,15752577,42527
"8","Appanoose County",19007,"IA",12661,12887,-1.8,12887,6,22.4,21.4,50.6,97.4,0.7,0.3,0.4,0.1,1.2,1.5,96.2,86.6,1,2.3,88.3,18.3,1045,19,6578,72.5,12,77600,5534,2.28,21599,39208,15.2,312,3437,4.3,919,1428,0,0,0,0,0,0,151576,23061,133534,10331,7996,6,497.29,25.9,1117966.3,1338
"9","Audubon County",19009,"IA",5794,6119,-5.3,6119,4.6,20.2,24.3,51.6,98.2,0.4,0.2,0.5,0,0.7,1.1,97.3,89.9,0.6,1.2,90.3,16.6,557,18.2,2997,80.4,7.4,71100,2684,2.18,30919,48313,9.5,181,1176,-0.3,494,456,0,0,0,0,0,0,0,47778,37302,6083,0,5,442.96,13.8,523198.2,673
"10","Bamberg County",45009,"SC",15182,15987,-5,15987,5.1,20.1,18.3,51.8,37,61.1,0.4,0.5,0.1,1,1.9,35.8,90,1.8,1.8,75.5,17.5,1329,23.6,7621,75.9,5.8,74700,5883,2.47,18902,31483,27.6,262,3069,-1.8,762,0,0,0,0,0,0,0,0,0,102813,6679,9368,10,393.37,40.6,1146241,3119
